"Quadro 1.2 - População residente por nacionalidade, por local de residência (NUTS I/II/III/Município), Portugal, 2021",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"NUTS I, II, III
Município",População residente ,,,,15 Principais nacionalidades estrangeiras ,,,,,,,,,,,,,,
,Total ,Nacionalidade portuguesa ,Nacionalidade estrangeira,Apátrida ,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné-Bissau,Índia,Roménia,Itália,Nepal,Espanha,Alemanha,São Tomé e Príncipe
Lousã, 17 006, 16 536,  470,  ,  112,  27,  6,  122,  19,  22,  14,  1,  1,  15,  12,  ,  4,  22,  2
Mealhada, 19 348, 18 888,  460,  ,  168,  39,  12,  17,  47,  15,  11,  2,  5,  13,  4,  9,  3,  3,  21
Mira, 12 113, 11 792,  321,  ,  137,  11,  9,  13,  2,  17,  11,  ,  9,  ,  7,  7,  5,  6,  
Miranda do Corvo, 12 002, 11 665,  337,  ,  60,  20,  7,  98,  5,  19,  7,  14,  ,  ,  5,  7,  5,  10,  4
Montemor-o-Velho, 24 571, 24 173,  398,  ,  136,  19,  3,  18,  28,  13,  12,  5,  18,  10,  2,  25,  9,  12,  19
Mortágua, 8 963, 8 620,  343,  ,  158,  21,  3,  45,  12,  10,  1,  2,  40,  2,  3,  ,  7,  4,  
Oliveira do Hospital, 19 413, 18 763,  650,  ,  107,  24,  5,  158,  8,  17,  23,  ,  29,  22,  6,  2,  5,  26,  5
Pampilhosa da Serra, 4 082, 3 955,  127,  ,  12,  4,  ,  32,  ,  17,  6,  1,  ,  4,  3,  ,  5,  12,  1
Penacova, 13 113, 12 899,  214,  ,  56,  11,  3,  49,  18,  19,  6,  1,  2,  1,  5,  2,  3,  2,  1
Penela, 5 440, 5 112,  328,  ,  52,  2,  1,  141,  16,  10,  ,  1,  4,  1,  2,  1,  1,  6,  
Soure, 17 261, 16 926,  335,  ,  120,  16,  8,  26,  21,  10,  15,  6,  2,  16,  4,  10,  11,  11,  
Tábua, 11 160, 10 622,  538,  ,  52,  8,  4,  146,  6,  13,  21,  ,  3,  2,  5,  ,  4,  44,  
Vila Nova de Poiares, 6 803, 6 555,  248,  ,  75,  7,  1,  84,  7,  9,  3,  1,  ,  1,  4,  ,  2,  4,  
Região de Leiria, 286 752, 273 130, 13 616,  6, 6 390,  353,  245,  794, 1 591,  484,  317,  56,  555,  183,  153,  81,  174,  224,  94
Alvaiázere, 6 238, 5 872,  366,  ,  62,  7,  ,  171,  13,  16,  3,  ,  9,  5,  1,  ,  2,  10,  
Ansião, 11 642, 11 249,  393,  ,  92,  12,  5,  147,  17,  17,  6,  1,  8,  1,  4,  ,  8,  9,  
Batalha, 15 557, 14 882,  675,  ,  292,  22,  11,  24,  154,  24,  20,  4,  5,  12,  3,  4,  5,  8,  15
Castanheira de Pêra, 2 645, 2 557,  88,  ,  18,  3,  1,  24,  5,  4,  2,  ,  1,  1,  1,  ,  ,  5,  1
Figueiró dos Vinhos, 5 281, 5 026,  255,  ,  35,  4,  ,  78,  6,  11,  12,  ,  2,  7,  3,  ,  1,  13,  
Leiria, 128 603, 122 043, 6 559,  1, 3 624,  199,  97,  124,  714,  196,  147,  34,  81,  97,  79,  49,  98,  63,  39
Marinha Grande, 39 024, 36 717, 2 305,  2,  944,  57,  70,  30,  285,  95,  49,  11,  374,  33,  27,  11,  20,  26,  14
Pedrógão Grande, 3 390, 3 070,  320,  ,  30,  2,  11,  115,  10,  7,  2,  ,  ,  3,  3,  ,  ,  61,  6
Pombal, 51 170, 49 408, 1 759,  3,  919,  28,  17,  40,  237,  83,  53,  5,  45,  14,  27,  16,  31,  24,  12
Porto de Mós, 23 202, 22 306,  896,  ,  374,  19,  33,  41,  150,  31,  23,  1,  30,  10,  5,  1,  9,  5,  7
Viseu Dão Lafões, 252 777, 246 674, 6 102,  1, 3 186,  354,  82,  203,  264,  176,  206,  18,  104,  48,  139,  22,  124,  159,  93
Aguiar da Beira, 5 231, 5 169,  62,  ,  26,  3,  ,  2,  6,  5,  4,  ,  4,  ,  ,  ,  ,  1,  
Carregal do Sal, 9 038, 8 824,  214,  ,  101,  6,  1,  24,  ,  9,  8,  ,  ,  7,  4,  ,  1,  10,  
Castro Daire, 13 736, 13 573,  163,  ,  65,  5,  2,  7,  ,  5,  16,  2,  ,  1,  8,  ,  8,  6,  
Mangualde, 18 303, 17 916,  387,  ,  194,  12,  ,  23,  24,  7,  14,  4,  ,  1,  4,  1,  10,  13,  
Nelas, 13 119, 12 871,  248,  ,  94,  19,  1,  21,  6,  5,  2,  2,  ,  3,  10,  ,  5,  14,  
Oliveira de Frades, 9 506, 9 124,  382,  ,  234,  10,  3,  6,  18,  3,  8,  1,  18,  2,  8,  ,  7,  3,  1
Penalva do Castelo, 7 333, 7 250,  83,  ,  33,  4,  ,  ,  1,  10,  3,  ,  3,  ,  1,  ,  6,  4,  
Santa Comba Dão, 10 641, 10 354,  287,  ,  92,  21,  4,  19,  7,  18,  11,  1,  33,  16,  4,  ,  6,  5,  7
São Pedro do Sul, 15 137, 14 824,  313,  ,  139,  20,  4,  9,  7,  8,  13,  ,  5,  1,  6,  15,  6,  15,  24
Sátão, 11 030, 10 889,  141,  ,  54,  4,  ,  8,  6,  15,  10,  ,  ,  3,  ,  ,  7,  12,  1
Tondela, 25 910, 25 396,  514,  ,  219,  46,  13,  22,  14,  19,  19,  1,  7,  2,  9,  ,  5,  14,  11
Vila Nova de Paiva, 4 662, 4 578,  84,  ,  27,  3,  1,  4,  10,  8,  9,  ,  ,  ,  2,  ,  3,  7,  
Viseu, 99 551, 96 485, 3 065,  1, 1 828,  189,  52,  51,  159,  54,  88,  7,  33,  11,  81,  5,  56,  46,  42
Vouzela, 9 580, 9 421,  159,  ,  80,  12,  1,  7,  6,  10,  1,  ,  1,  1,  2,  1,  4,  9,  7
Beira Baixa, 80 751, 77 812, 2 939,  ,  777,  124,  79,  413,  147,  161,  57,  101,  174,  101,  33,  21,  72,  101,  57
Castelo Branco, 52 272, 50 513, 1 759,  ,  549,  95,  55,  166,  98,  91,  36,  79,  117,  61,  17,  14,  28,  36,  16
Idanha-a-Nova, 8 355, 7 899,  456,  ,  45,  12,  16,  79,  21,  14,  4,  19,  32,  28,  6,  4,  19,  36,  41
Oleiros, 4 904, 4 759,  145,  ,  40,  2,  3,  24,  ,  17,  5,  ,  5,  ,  6,  2,  3,  9,  
Penamacor, 4 768, 4 537,  231,  ,  24,  5,  2,  86,  9,  21,  ,  ,  ,  2,  2,  ,  12,  8,  
Proença-a-Nova, 7 167, 6 970,  197,  ,  73,  5,  3,  37,  5,  14,  12,  1,  3,  2,  1,  1,  6,  4,  
Vila Velha de Ródão, 3 285, 3 134,  151,  ,  46,  5,  ,  21,  14,  4,  ,  2,  17,  8,  1,  ,  4,  8,  
