distribuicao_geo_id,localidade_id,nacionalidade_id,populacao_nacional_local,concentracao_relativa,dominio_regional
774,63,17,27,5.48,Médio
775,64,4,220,51.4,Alto
776,64,2,34,7.94,Médio
777,64,5,4,0.93,Baixo
778,64,15,10,2.34,Baixo
779,64,18,15,3.5,Baixo
780,64,8,13,3.04,Baixo
781,64,6,16,3.74,Baixo
782,64,9,5,1.17,Baixo
783,64,10,2,0.47,Baixo
784,64,7,16,3.74,Baixo
785,64,1,2,0.47,Baixo
786,65,4,240,47.43,Alto
787,65,2,26,5.14,Médio
788,65,5,4,0.79,Baixo
789,65,15,5,0.99,Baixo
790,65,18,9,1.78,Baixo
791,65,8,33,6.52,Médio
792,65,6,48,9.49,Médio
793,65,9,3,0.59,Baixo
794,65,19,6,1.19,Baixo
795,65,10,8,1.58,Baixo
796,65,7,15,2.96,Baixo
797,65,1,12,2.37,Baixo
798,66,4,296,50.34,Alto
799,66,2,49,8.33,Médio
800,66,5,2,0.34,Baixo
801,66,15,16,2.72,Baixo
802,66,18,25,4.25,Baixo
803,66,8,18,3.06,Baixo
804,66,6,18,3.06,Baixo
805,66,9,15,2.55,Baixo
806,66,19,1,0.17,Baixo
807,66,10,8,1.36,Baixo
808,66,7,23,3.91,Baixo
809,66,1,16,2.72,Baixo
810,66,17,4,0.68,Baixo
811,67,4,24,31.17,Alto
812,67,2,3,3.9,Baixo
